project_name,version,class_name,wmc,rfc,loc,max_cc,avg_cc,cbo,ca,ce,ic,cbm,lcom,lcom3,dit,noc,mfa,npm,dam,moa,cam,amc,bug
openj9,unknown,com.ibm.gpu.Maths,17,21,447,1,1.0,4,2,0,0,25,136,1.0,0,0,0.0,16,0,0,0.34408602150537637,26.294117647058822,3
openj9,unknown,com.ibm.gpu.internal.CudaGPUAssist,5,18,183,6,5.0,13,0,3,0,4,10,1.0,0,0,0.0,4,1.0,1,0.38461538461538464,36.6,2
openj9,unknown,com.ibm.gpu.internal.CudaGPUAssistProvider,1,6,74,3,3.0,5,0,0,0,0,0,0,0,0,0.0,1,0,0,0,74.0,2
openj9,unknown,java.lang.management.MemoryUsage,9,21,328,8,2.111111111111111,12,13,0,0,18,36,1.0,0,0,0.0,8,1.0,1,0.0,36.44444444444444,5
openj9,unknown,java.lang.management.MemoryNotificationInfo,4,10,202,2,1.25,6,6,0,0,1,6,1.0,0,0,0.0,4,0.6,4,0,50.5,5
openj9,unknown,java.lang.management.DefaultPlatformMBeanProvider,2,4,174,3,2.0,2,0,0,1,0,1,1.0,1,0,0.0,1,1.0,1,0,87.0,6
openj9,unknown,java.lang.management.ManagementPermission,0,0,81,0,0,0,2,0,1,0,0,0,1,0,0,0,1.0,2,0,0,5
openj9,unknown,java.lang.management.ManagementFactory,16,40,544,5,1.625,24,75,0,0,8,120,1.0,0,0,0.0,16,0.0,9,0.5652173913043478,34.0,3
openj9,unknown,java.lang.management.MonitorInfo,4,12,172,2,1.25,8,4,0,1,1,6,1.0,1,0,0.0,3,1.0,1,0,43.0,5
openj9,unknown,java.lang.management.LockInfo,5,12,160,2,1.2,7,5,0,0,3,10,1.0,0,0,0.0,4,1.0,1,0,32.0,6
openj9,unknown,java.lang.management.ThreadInfoAccessImpl,1,2,38,1,1.0,1,0,0,0,0,0,0,0,0,0.0,1,0,0,0,38.0,6
openj9,unknown,com.ibm.java.lang.management.internal.ManagementUtils,21,66,981,11,3.9047619047619047,45,19,1,0,8,210,1.0,0,0,0.0,19,0.5,2,0.14864864864864866,46.714285714285715,4
openj9,unknown,com.ibm.java.lang.management.internal.ManagementPermissionHelper,0,0,39,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,2,0,0,2
openj9,unknown,com.ibm.java.lang.management.internal.StackTraceElementUtil,7,28,279,4,2.857142857142857,21,1,0,0,8,21,1.0,0,0,0.0,4,1.0,3,0.2,39.857142857142854,2
openj9,unknown,com.ibm.java.lang.management.internal.GarbageCollectorMXBeanImpl,22,37,244,1,1.0,15,1,0,1,11,231,1.0,1,0,0.0,15,1.0,2,0.17333333333333334,11.090909090909092,3
openj9,unknown,com.ibm.java.lang.management.internal.ThreadInfoUtil,2,26,170,7,5.5,24,0,2,0,9,1,1.0,0,0,0.0,2,1.0,1,0,85.0,2
openj9,unknown,com.ibm.java.lang.management.internal.MonitorInfoUtil,3,16,162,4,3.6666666666666665,13,0,1,0,3,3,1.0,0,0,0.0,3,1.0,1,0.0,54.0,2
openj9,unknown,com.ibm.java.lang.management.internal.OperatingSystemMXBeanImpl,8,13,118,2,1.125,5,1,1,1,1,28,1.0,1,0,0.0,7,1.0,2,0,14.75,3
openj9,unknown,com.ibm.java.lang.management.internal.CompilationMXBeanImpl,8,15,127,2,1.25,7,0,1,0,3,28,1.0,0,0,0.0,5,1.0,2,0,15.875,3
openj9,unknown,com.ibm.java.lang.management.internal.MemoryUsageUtil,5,20,178,5,4.2,15,3,1,0,6,10,1.0,0,0,0.0,4,1.0,3,0.0,35.6,2
openj9,unknown,com.ibm.java.lang.management.internal.LoggingMXBeanImpl,9,32,361,6,3.4444444444444446,23,1,0,1,11,36,1.0,1,0,0.0,6,1.0,12,0.42857142857142855,40.111111111111114,3
openj9,unknown,com.ibm.java.lang.management.internal.MemoryPoolMXBeanImpl,37,69,471,5,1.5405405405405406,32,0,2,0,28,666,1.0,0,0,0.0,20,1.0,5,0.3638968481375358,12.72972972972973,4
openj9,unknown,com.ibm.java.lang.management.internal.ComponentBuilder,5,8,275,4,2.0,3,1,0,0,0,10,1.0,0,0,0.0,5,1.0,4,0.06666666666666667,55.0,3
openj9,unknown,com.ibm.java.lang.management.internal.ManagementAccessControl,2,3,52,2,1.5,1,0,0,0,0,1,1.0,0,0,0.0,2,1.0,1,0,26.0,3
openj9,unknown,com.ibm.java.lang.management.internal.LockInfoUtil,3,10,128,4,3.6666666666666665,7,0,1,0,1,3,1.0,0,0,0.0,3,1.0,1,0.0,42.666666666666664,2
openj9,unknown,com.ibm.java.lang.management.internal.RuntimeMXBeanImpl,23,41,255,2,1.173913043478261,18,1,1,0,7,253,1.0,0,0,0.0,19,1.0,2,0,11.08695652173913,4
openj9,unknown,com.ibm.java.lang.management.internal.ClassLoadingMXBeanImpl,10,18,142,2,1.2,8,0,1,0,3,45,1.0,0,0,0.0,7,1.0,2,1.0,14.2,4
openj9,unknown,com.ibm.java.lang.management.internal.MemoryManagerMXBeanImpl,7,11,134,2,1.2857142857142858,4,0,0,0,1,21,1.0,0,0,0.0,4,1.0,4,0.0,19.142857142857142,3
openj9,unknown,com.ibm.java.lang.management.internal.MemoryMXBeanImpl,70,126,913,6,1.3571428571428572,56,3,3,1,31,2415,1.0,1,0,0.0,39,1.0,6,0.17086330935251798,13.042857142857143,4
